window,weeks,return_pct,benchmark_pct,excess_pct,max_drawdown_pct,win_rate_pct,best_week_pct,return_without_best_week_pct,best_positive_week_share_pct,turnover_multiple,average_exposure_pct,min_hold_trading_days
full,37,38.64,-1.08,39.72,-5.3,48.6,7.78,28.63,14.2,22.33,46.3,5
full,37,40.37,-1.08,41.44,-5.81,48.6,7.78,30.23,13.9,17.93,43.9,8
full,37,44.4,-1.08,45.48,-5.81,48.6,8.12,33.56,13.8,17.37,43.9,10
full,37,46.24,-1.08,47.32,-5.81,45.9,8.12,35.26,13.9,17.19,43.9,12
full,37,41.72,-1.08,42.8,-6.27,48.6,7.78,31.49,13.9,16.16,43.9,15
post_split,12,5.1,-2.54,7.65,-4.59,50.0,4.94,0.16,37.5,8.59,48.0,5
post_split,12,5.17,-2.54,7.71,-5.81,50.0,4.94,0.22,34.9,6.12,46.2,8
post_split,12,6.12,-2.54,8.67,-5.81,50.0,4.94,1.13,32.8,5.56,46.2,10
post_split,12,7.34,-2.54,9.88,-5.81,41.7,6.25,1.02,38.2,6.03,46.2,12
post_split,12,7.14,-2.54,9.69,-5.81,50.0,4.94,2.1,30.8,5.56,46.2,15
pre_split,25,31.91,1.5,30.41,-5.3,48.0,7.78,22.39,18.7,13.74,45.5,5
pre_split,25,33.46,1.5,31.96,-5.3,48.0,7.78,23.83,18.6,11.81,42.8,8
pre_split,25,36.07,1.5,34.57,-5.3,48.0,8.12,25.85,18.5,11.81,42.8,10
pre_split,25,36.25,1.5,34.75,-5.3,48.0,8.12,26.02,19.3,11.16,42.8,12
pre_split,25,32.28,1.5,30.77,-6.27,48.0,7.78,22.73,19.4,10.6,42.8,15
