date,period,code,name,target_weight_pct,mark_price,market_value_factor
2026-05-06,2026-05,588220,科创100ETF鹏华,36.0,1.705,0.36470588
2026-05-06,2026-05,588080,科创50ETF易方达,31.5,1.691,0.31991892
2026-05-06,2026-05,512480,半导体ETF国联安,22.5,0.936661,0.22737718
2026-05-07,2026-05,588220,科创100ETF鹏华,36.0,1.75,0.37433155
2026-05-07,2026-05,588080,科创50ETF易方达,31.5,1.715,0.32445946
2026-05-07,2026-05,512480,半导体ETF国联安,22.5,0.954288,0.2316561
2026-05-08,2026-05,588220,科创100ETF鹏华,36.0,1.737,0.3715508
2026-05-08,2026-05,588080,科创50ETF易方达,31.5,1.677,0.31727027
2026-05-08,2026-05,512480,半导体ETF国联安,22.5,0.931276,0.22606973
2026-05-11,2026-05,588220,科创100ETF鹏华,36.0,1.793,0.38352941
2026-05-11,2026-05,588080,科创50ETF易方达,31.5,1.754,0.33183784
2026-05-11,2026-05,512480,半导体ETF国联安,22.5,0.988073,0.23985737
2026-05-12,2026-05,588220,科创100ETF鹏华,36.0,1.794,0.38374332
2026-05-12,2026-05,588080,科创50ETF易方达,31.5,1.761,0.33316216
2026-05-12,2026-05,512480,半导体ETF国联安,22.5,0.9915,0.24068938
2026-05-13,2026-05,588220,科创100ETF鹏华,36.0,1.832,0.39187166
2026-05-13,2026-05,588080,科创50ETF易方达,31.5,1.808,0.34205405
2026-05-13,2026-05,512480,半导体ETF国联安,22.5,1.022347,0.2481775
2026-05-14,2026-05,588220,科创100ETF鹏华,36.0,1.786,0.38203209
2026-05-14,2026-05,588080,科创50ETF易方达,31.5,1.762,0.33335135
2026-05-14,2026-05,512480,半导体ETF国联安,22.5,1.000313,0.24282884
2026-05-15,2026-05,588220,科创100ETF鹏华,36.0,1.777,0.38010695
2026-05-15,2026-05,588080,科创50ETF易方达,31.5,1.733,0.32786486
2026-05-15,2026-05,512480,半导体ETF国联安,22.5,0.996396,0.24187797
2026-05-18,2026-05,588220,科创100ETF鹏华,36.0,1.792,0.38331551
2026-05-18,2026-05,588080,科创50ETF易方达,31.5,1.747,0.33051351
2026-05-18,2026-05,512480,半导体ETF国联安,22.5,1.007658,0.24461173
2026-05-19,2026-05,588220,科创100ETF鹏华,36.0,1.82,0.38930481
2026-05-19,2026-05,588080,科创50ETF易方达,31.5,1.815,0.34337838
2026-05-19,2026-05,512480,半导体ETF国联安,22.5,1.043401,0.25328843
2026-05-20,2026-05,588220,科创100ETF鹏华,36.0,1.879,0.40192513
2026-05-20,2026-05,588080,科创50ETF易方达,31.5,1.87,0.35378378
2026-05-20,2026-05,512480,半导体ETF国联安,22.5,1.090405,0.26469889
2026-05-21,2026-05,588220,科创100ETF鹏华,36.0,1.787,0.38224599
2026-05-21,2026-05,588080,科创50ETF易方达,31.5,1.804,0.3412973
2026-05-21,2026-05,512480,半导体ETF国联安,22.5,1.04389,0.25340729
2026-06-01,2026-06,159611,电力ETF广发,36.0,1.257,0.36086124
2026-06-01,2026-06,515880,通信ETF国泰,31.5,0.774247,0.30601141
2026-06-01,2026-06,159967,创业板成长ETF华夏,22.5,0.894,0.21652314
2026-06-02,2026-06,159611,电力ETF广发,36.0,1.241,0.35626794
2026-06-03,2026-06,159611,电力ETF广发,36.0,1.249,0.35856459
2026-06-04,2026-06,159611,电力ETF广发,36.0,1.228,0.35253589
2026-06-05,2026-06,159611,电力ETF广发,36.0,1.178,0.33818182
2026-06-08,2026-06,159611,电力ETF广发,36.0,1.145,0.32870813
2026-06-09,2026-06,159611,电力ETF广发,36.0,1.159,0.33272727
2026-06-10,2026-06,159611,电力ETF广发,36.0,1.127,0.32354067
2026-06-11,2026-06,159611,电力ETF广发,36.0,1.128,0.32382775
2026-06-12,2026-06,159611,电力ETF广发,36.0,1.14,0.32727273
2026-06-15,2026-06,159611,电力ETF广发,36.0,1.15,0.33014354
2026-06-16,2026-06,159611,电力ETF广发,36.0,1.142,0.32784689
2026-06-17,2026-06,159611,电力ETF广发,36.0,1.13,0.32440191
2026-07-01,2026-07,588010,科创新材料ETF博时,40.0,1.534,0.40555188
2026-07-01,2026-07,589680,科创综指ETF鹏华,35.0,1.936,0.34448399
2026-07-01,2026-07,588230,科创200ETF华泰柏瑞,25.0,2.346,0.25291074
2026-07-02,2026-07,588010,科创新材料ETF博时,40.0,1.462,0.38651685
2026-07-02,2026-07,589680,科创综指ETF鹏华,35.0,1.833,0.32615658
2026-07-02,2026-07,588230,科创200ETF华泰柏瑞,25.0,2.226,0.23997413
