date,period,code,name,side,weight_change_pct,execution_price,cost_bps,reason
2026-05-06,2026-05,512480,半导体ETF国联安,BUY,22.5,0.926869,8.0,周度/周期调仓
2026-05-06,2026-05,588080,科创50ETF易方达,BUY,31.5,1.665,8.0,周度/周期调仓
2026-05-06,2026-05,588220,科创100ETF鹏华,BUY,36.0,1.683,8.0,周度/周期调仓
2026-05-22,2026-05,512480,半导体ETF国联安,STOP_SELL,22.5,1.049694,8.0,日度风控次日开盘
2026-05-22,2026-05,588080,科创50ETF易方达,STOP_SELL,31.5,1.811187,8.0,日度风控次日开盘
2026-05-22,2026-05,588220,科创100ETF鹏华,STOP_SELL,36.0,1.786212,8.0,日度风控次日开盘
2026-06-01,2026-06,159611,电力ETF广发,BUY,36.0,1.254,8.0,周度/周期调仓
2026-06-01,2026-06,159967,创业板成长ETF华夏,BUY,22.5,0.929,8.0,周度/周期调仓
2026-06-01,2026-06,515880,通信ETF国泰,BUY,31.5,0.796989,8.0,周度/周期调仓
2026-06-02,2026-06,159967,创业板成长ETF华夏,STOP_SELL,22.5,0.900099,8.0,日度风控次日开盘
2026-06-02,2026-06,515880,通信ETF国泰,STOP_SELL,31.5,0.774987,8.0,日度风控次日开盘
2026-06-18,2026-06,159611,电力ETF广发,STOP_SELL,36.0,1.102416,8.0,盘中止损
2026-07-01,2026-07,588010,科创新材料ETF博时,BUY,40.0,1.513,8.0,周度/周期调仓
2026-07-01,2026-07,588230,科创200ETF华泰柏瑞,BUY,25.0,2.319,8.0,周度/周期调仓
2026-07-01,2026-07,589680,科创综指ETF鹏华,BUY,35.0,1.967,8.0,周度/周期调仓
2026-07-03,2026-07,588010,科创新材料ETF博时,STOP_SELL,40.0,1.415583,8.0,日度风控次日开盘
2026-07-03,2026-07,588230,科创200ETF华泰柏瑞,STOP_SELL,25.0,2.192805,8.0,日度风控次日开盘
2026-07-03,2026-07,589680,科创综指ETF鹏华,STOP_SELL,35.0,1.813185,8.0,日度风控次日开盘
