date,period,code,name,side,weight_change_pct,execution_price,cost_bps,reason
2025-08-04,2025-W32,515880,通信ETF国泰,BUY,48.0,0.292003,8.0,周度/周期调仓
2025-08-04,2025-W32,560080,中药ETF汇添富,BUY,42.0,1.133,8.0,周度/周期调仓
2025-08-11,2025-W33,512400,有色金属ETF南方,BUY,46.7,1.307,8.0,周度/周期调仓
2025-08-11,2025-W33,515880,通信ETF国泰,BUY,5.3,0.302996,8.0,周度/周期调仓
2025-08-11,2025-W33,560080,中药ETF汇添富,SELL,42.0,1.113,8.0,周度/周期调仓
2025-08-18,2025-W34,588200,科创芯片ETF嘉实,BUY,25.0,0.605925,8.0,周度/周期调仓
2025-08-18,2025-W34,512400,有色金属ETF南方,SELL,6.7,1.352,8.0,周度/周期调仓
2025-08-18,2025-W34,515880,通信ETF国泰,SELL,18.3,0.335288,8.0,周度/周期调仓
2025-08-25,2025-W35,159901,深证100ETF易方达,BUY,25.0,3.228,8.0,周度/周期调仓
2025-08-25,2025-W35,516510,云计算ETF易方达,BUY,35.0,1.591,8.0,周度/周期调仓
2025-08-25,2025-W35,588200,科创芯片ETF嘉实,BUY,15.0,0.701704,8.0,周度/周期调仓
2025-08-25,2025-W35,512400,有色金属ETF南方,SELL,40.0,1.4,8.0,周度/周期调仓
2025-08-25,2025-W35,515880,通信ETF国泰,SELL,35.0,0.382524,8.0,周度/周期调仓
2025-09-01,2025-W36,159901,深证100ETF易方达,BUY,10.0,3.365,8.0,周度/周期调仓
2025-09-01,2025-W36,516160,新能源ETF南方,BUY,25.0,2.3,8.0,周度/周期调仓
2025-09-01,2025-W36,516510,云计算ETF易方达,BUY,5.0,1.645,8.0,周度/周期调仓
2025-09-01,2025-W36,588200,科创芯片ETF嘉实,SELL,40.0,0.756047,8.0,周度/周期调仓
2025-09-03,2025-W36,516160,新能源ETF南方,STOP_SELL,25.0,2.284713,8.0,日度风控次日开盘
2025-09-03,2025-W36,516510,云计算ETF易方达,STOP_SELL,40.0,1.610388,8.0,日度风控次日开盘
2025-09-08,2025-W37,513120,港股创新药ETF广发,BUY,15.0,1.584,8.0,周度/周期调仓
2025-09-08,2025-W37,560980,光伏龙头ETF广发,BUY,40.0,0.633,8.0,周度/周期调仓
2025-09-08,2025-W37,159901,深证100ETF易方达,SELL,10.0,3.363,8.0,周度/周期调仓
2025-09-15,2025-W38,159901,深证100ETF易方达,BUY,21.7,3.412,8.0,周度/周期调仓
2025-09-15,2025-W38,512400,有色金属ETF南方,BUY,53.3,1.549,8.0,周度/周期调仓
2025-09-15,2025-W38,513120,港股创新药ETF广发,SELL,15.0,1.527,8.0,周度/周期调仓
2025-09-15,2025-W38,560980,光伏龙头ETF广发,SELL,40.0,0.623,8.0,周度/周期调仓
2025-09-22,2025-W39,159732,消费电子ETF华夏,BUY,46.7,1.143,8.0,周度/周期调仓
2025-09-22,2025-W39,515030,新能源车ETF华夏,BUY,53.3,1.709,8.0,周度/周期调仓
2025-09-22,2025-W39,159901,深证100ETF易方达,SELL,46.7,3.485,8.0,周度/周期调仓
2025-09-22,2025-W39,512400,有色金属ETF南方,SELL,53.3,1.498,8.0,周度/周期调仓
2025-10-09,2025-W41,512400,有色金属ETF南方,BUY,25.0,1.75,8.0,周度/周期调仓
2025-10-09,2025-W41,159732,消费电子ETF华夏,SELL,11.7,1.187,8.0,周度/周期调仓
2025-10-09,2025-W41,515030,新能源车ETF华夏,SELL,13.3,1.913,8.0,周度/周期调仓
2025-10-13,2025-W42,512400,有色金属ETF南方,BUY,23.0,1.732,8.0,周度/周期调仓
2025-10-13,2025-W42,515030,新能源车ETF华夏,BUY,2.0,1.828,8.0,周度/周期调仓
2025-10-13,2025-W42,159732,消费电子ETF华夏,SELL,35.0,1.07,8.0,周度/周期调仓
2025-10-15,2025-W42,515030,新能源车ETF华夏,STOP_SELL,42.0,1.746252,8.0,日度风控次日开盘
2025-10-20,2025-W43,515220,煤炭ETF国泰,BUY,90.0,1.173,8.0,周度/周期调仓
2025-10-20,2025-W43,512400,有色金属ETF南方,SELL,48.0,1.658,8.0,周度/周期调仓
2025-10-27,2025-W44,159755,电池ETF广发,BUY,53.3,1.062,8.0,周度/周期调仓
2025-10-27,2025-W44,516160,新能源ETF南方,BUY,46.7,2.793,8.0,周度/周期调仓
2025-10-27,2025-W44,515220,煤炭ETF国泰,SELL,90.0,1.177,8.0,周度/周期调仓
2025-11-03,2025-W45,159755,电池ETF广发,BUY,36.7,1.11,8.0,周度/周期调仓
2025-11-03,2025-W45,516160,新能源ETF南方,SELL,46.7,2.924,8.0,周度/周期调仓
2025-11-10,2025-W46,516160,新能源ETF南方,BUY,53.3,3.11,8.0,周度/周期调仓
2025-11-10,2025-W46,560980,光伏龙头ETF广发,BUY,46.7,0.783,8.0,周度/周期调仓
2025-11-10,2025-W46,159755,电池ETF广发,SELL,90.0,1.131,8.0,周度/周期调仓
2025-11-17,2025-W47,516160,新能源ETF南方,BUY,36.7,3.051,8.0,周度/周期调仓
2025-11-17,2025-W47,560980,光伏龙头ETF广发,SELL,46.7,0.739,8.0,周度/周期调仓
2025-11-21,2025-W47,516160,新能源ETF南方,STOP_SELL,90.0,2.804113,8.0,盘中止损
2025-12-01,2025-W49,161226,国投白银LOF,BUY,48.0,1.62,8.0,周度/周期调仓
2025-12-01,2025-W49,513290,纳指生物科技ETF汇添富,BUY,15.0,1.611,8.0,周度/周期调仓
2025-12-08,2025-W50,161226,国投白银LOF,BUY,5.3,1.724,8.0,周度/周期调仓
2025-12-15,2025-W51,159227,航空航天ETF华夏,BUY,100.0,1.2,8.0,周度/周期调仓
2025-12-15,2025-W51,161226,国投白银LOF,SELL,53.3,1.97,8.0,周度/周期调仓
2025-12-15,2025-W51,513290,纳指生物科技ETF汇添富,SELL,15.0,1.57,8.0,周度/周期调仓
2025-12-22,2025-W52,563230,卫星ETF富国,BUY,46.7,1.203,8.0,周度/周期调仓
2025-12-22,2025-W52,159227,航空航天ETF华夏,SELL,46.7,1.25,8.0,周度/周期调仓
2025-12-29,2026-W01,563230,卫星ETF富国,BUY,6.6,1.335,8.0,周度/周期调仓
2025-12-29,2026-W01,159227,航空航天ETF华夏,SELL,6.6,1.313,8.0,周度/周期调仓
2026-01-05,2026-W02,512500,中证500ETF华夏,BUY,42.0,4.179,8.0,周度/周期调仓
2026-01-05,2026-W02,159227,航空航天ETF华夏,SELL,46.7,1.385,8.0,周度/周期调仓
2026-01-05,2026-W02,563230,卫星ETF富国,SELL,5.3,1.482,8.0,周度/周期调仓
2026-01-12,2026-W03,512400,有色金属ETF南方,BUY,35.0,2.149,8.0,周度/周期调仓
2026-01-12,2026-W03,512480,半导体ETF国联安,BUY,25.0,0.795159,8.0,周度/周期调仓
2026-01-12,2026-W03,512500,中证500ETF华夏,SELL,2.0,4.537,8.0,周度/周期调仓
2026-01-12,2026-W03,563230,卫星ETF富国,SELL,48.0,1.85,8.0,周度/周期调仓
2026-01-19,2026-W04,512400,有色金属ETF南方,BUY,11.7,2.175,8.0,周度/周期调仓
2026-01-19,2026-W04,512480,半导体ETF国联安,BUY,28.3,0.83335,8.0,周度/周期调仓
2026-01-19,2026-W04,512500,中证500ETF华夏,SELL,40.0,4.569,8.0,周度/周期调仓
2026-01-26,2026-W05,159934,黄金ETF易方达,BUY,80.0,11.368,8.0,周度/周期调仓
2026-01-26,2026-W05,512400,有色金属ETF南方,SELL,46.7,2.358,8.0,周度/周期调仓
2026-01-26,2026-W05,512480,半导体ETF国联安,SELL,53.3,0.849507,8.0,周度/周期调仓
2026-02-02,2026-W06,159363,创业板人工智能ETF华宝,BUY,42.0,1.155,8.0,周度/周期调仓
2026-02-02,2026-W06,159934,黄金ETF易方达,SELL,32.0,10.362,8.0,周度/周期调仓
2026-02-03,2026-W06,159363,创业板人工智能ETF华宝,STOP_SELL,42.0,1.136862,8.0,日度风控次日开盘
2026-02-03,2026-W06,159934,黄金ETF易方达,STOP_SELL,48.0,10.794195,8.0,日度风控次日开盘
2026-02-24,2026-W09,560710,船舶ETF富国,BUY,48.0,1.076,8.0,周度/周期调仓
2026-02-24,2026-W09,561380,电网设备ETF国泰,BUY,42.0,0.813148,8.0,周度/周期调仓
2026-03-02,2026-W10,561380,电网设备ETF国泰,BUY,11.3,0.86574,8.0,周度/周期调仓
2026-03-02,2026-W10,560710,船舶ETF富国,SELL,1.3,1.182,8.0,周度/周期调仓
2026-03-04,2026-W10,560710,船舶ETF富国,STOP_SELL,46.7,1.064934,8.0,日度风控次日开盘
2026-03-09,2026-W11,159667,工业母机ETF国泰,BUY,42.0,0.637383,8.0,周度/周期调仓
2026-03-09,2026-W11,561380,电网设备ETF国泰,SELL,5.3,0.890013,8.0,周度/周期调仓
2026-03-16,2026-W12,159985,豆粕ETF华夏,BUY,48.0,2.29,8.0,周度/周期调仓
2026-03-16,2026-W12,516160,新能源ETF南方,BUY,42.0,3.274,8.0,周度/周期调仓
2026-03-16,2026-W12,159667,工业母机ETF国泰,SELL,42.0,0.620299,8.0,周度/周期调仓
