# ETF 池 — 细分板块版
# 格式: ETF名称,代码,大类/细分
# 大类用于策略规则（如规则 11 大簇崩盘），细分用于板块去重 TOP10 排序

# ===== 科技 =====
半导体设备ETF国泰,159516,科技/半导体
半导体ETF国联安,512480,科技/半导体
科创新材料ETF博时,588010,科技/半导体
科创芯片ETF嘉实,588200,科技/芯片
云计算ETF易方达,516510,科技/云计算
软件ETF嘉实,159852,科技/软件
信创ETF富国,159538,科技/软件
数字经济ETF嘉实,159389,科技/软件
数字经济ETF鹏华,560800,科技/软件
计算机ETF华宝,512720,科技/软件
通信ETF国泰,515880,科技/通信
传媒ETF广发,512980,科技/传媒游戏
游戏ETF华夏,159869,科技/传媒游戏
消费电子ETF华夏,159732,科技/消费电子
机器人ETF易方达,159530,科技/机器人
创业板人工智能ETF华宝,159363,科技/人工智能
金融科技ETF华夏,516100,科技/金融科技
信息技术ETF广发,159939,科技/信息技术
物联网ETF华夏,516260,科技/物联网
工业互联网ETF鹏华,159778,科技/物联网
科技ETF易方达,159807,科技/综合
科技ETF嘉实,515860,科技/综合
互联网ETF东财,159550,科技/综合

# ===== 医药 =====
创新药ETF广发,515120,医药/创新药
港股创新药ETF广发,513120,医药/创新药
生物医药ETF天弘,159859,医药/生物医药
标普生物科技ETF嘉实,159502,医药/生物医药
纳指生物科技ETF汇添富,513290,医药/生物医药
医疗器械ETF华夏,562600,医药/医疗器械
中药ETF汇添富,560080,医药/中药
医药ETF汇添富,159929,医药/综合
医药ETF易方达,512010,医药/综合
医药ETF嘉实,515960,医药/综合

# ===== 消费 =====
食品饮料ETF华夏,515170,消费/食品饮料
家电ETF国泰,159996,消费/家电
养殖ETF国泰,159865,消费/农牧
农业ETF富国,159825,消费/农牧
旅游ETF富国,159766,消费/旅游
物流ETF富国,516910,消费/物流
港股通汽车ETF华夏,159323,消费/汽车
汽车零部件ETF易方达,159565,消费/汽车
消费ETF汇添富,159928,消费/综合
国货ETF富国,561130,消费/综合
养老ETF华宝,516560,消费/综合
智能消费ETF博时,515920,消费/综合
线上消费ETF工银,159725,消费/综合

# ===== 资源/周期 =====
煤炭ETF国泰,515220,资源/煤炭
钢铁ETF国泰,515210,资源/钢铁
有色金属ETF南方,512400,资源/有色
有色ETF大成,159980,资源/有色
稀土ETF嘉实,516150,资源/稀土
建材ETF富国,516750,资源/建材
化工ETF富国,516120,资源/化工
化工行业ETF,516570,资源/化工
黄金股ETF华夏,159562,资源/黄金股
标普油气ETF富国,513350,资源/油气
石油ETF招商,159197,资源/油气
油气ETF博时,561760,资源/油气
能源ETF汇添富,159930,资源/综合

# ===== 商品 =====
黄金ETF易方达,159934,商品/黄金
国投白银LOF,161226,商品/白银
豆粕ETF华夏,159985,商品/豆粕
能源化工ETF建信,159981,商品/能化

# ===== 金融 =====
银行ETF易方达,516310,金融/银行
证券ETF天弘,159841,金融/证券
证券先锋ETF华富,516980,金融/证券
证券保险ETF易方达,512070,金融/保险
港股通非银ETF广发,513750,金融/综合
房地产ETF华夏,515060,金融/地产

# ===== 新能源 =====
光伏龙头ETF广发,560980,新能源/光伏
新能源车ETF华夏,515030,新能源/新能车
智能网联汽车ETF鹏华,159872,新能源/新能车
电池ETF广发,159755,新能源/电池
新能源ETF南方,516160,新能源/综合
碳中和ETF华夏,159790,新能源/综合
智能驾驶ETF华泰柏瑞,516520,新能源/综合

# ===== 军工 =====
航空航天ETF华夏,159227,军工/航空航天
卫星ETF富国,563230,军工/航空航天
船舶ETF富国,560710,军工/船舶
军工龙头ETF富国,512710,军工/综合
高端制造ETF易方达,562910,军工/综合
智能制造ETF华宝,516800,军工/综合
机械ETF富国,159886,军工/机械
工业母机ETF国泰,159667,军工/机械
工程机械ETF华夏,515970,军工/机械
科创机械ETF嘉实,588850,军工/机械

# ===== 公用事业 =====
电力ETF广发,159611,公用事业/电力
基建ETF华夏,159635,公用事业/基建
电网设备ETF国泰,561380,公用事业/电网

# ===== 宽基/大盘 =====
上证50ETF广发,510950,宽基/大盘
超大盘ETF博时,510020,宽基/大盘
中国A50ETF易方达,563000,宽基/大盘
A100ETF易方达,159686,宽基/大盘
上证180ETF易方达,530180,宽基/大盘
中证A50ETF大成,159595,宽基/大盘
基本面50ETF嘉实,512750,宽基/大盘
漂亮50ETF华泰柏瑞,561500,宽基/大盘
沪深300ETF华泰柏瑞,510300,宽基/大盘
沪深300ETF嘉实,159919,宽基/大盘
中证A500ETF国泰,159338,宽基/大盘
中证800ETF汇添富,515800,宽基/大盘
MSCIA股ETF易方达,512090,宽基/大盘
300质量ETF兴全,563960,宽基/大盘
央视50ETF国联,159965,宽基/大盘

# ===== 宽基/中盘 =====
中证500ETF华夏,512500,宽基/中盘
中证500低波动ETF华安,512260,宽基/中盘
500等权ETF前海开源,515590,宽基/中盘
上证380ETF易方达,530380,宽基/中盘
上证580ETF易方达,530100,宽基/中盘
上证中盘ETF易方达,510130,宽基/中盘
中小100ETF华夏,159902,宽基/中盘

# ===== 宽基/小盘 =====
中证1000ETF华夏,159845,宽基/小盘
中证2000ETF华泰柏瑞,563300,宽基/小盘
国证2000ETF广发,159907,宽基/小盘
中创400ETF嘉实,159918,宽基/小盘

# ===== 宽基/创业板 =====
创业板ETF易方达,159915,宽基/创业板
创业板50ETF景顺,159682,宽基/创业板
创业板300ETF天弘,159836,宽基/创业板
创业板200ETF易方达,159572,宽基/创业板
创业板综ETF华夏,159563,宽基/创业板
创业板成长ETF华夏,159967,宽基/创业板
创业大盘ETF西部利得,159814,宽基/创业板
创中盘88ETF国寿,159804,宽基/创业板
深成长ETF大成,159906,宽基/创业板

# ===== 宽基/科创板 =====
科创50ETF易方达,588080,宽基/科创板
科创100ETF鹏华,588220,宽基/科创板
科创200ETF华泰柏瑞,588230,宽基/科创板
科创综指ETF鹏华,589680,宽基/科创板
科创创业ETF易方达,159781,宽基/科创板

# ===== 宽基/综合 =====
A股ETF华泰柏瑞,563330,宽基/综合
深证100ETF易方达,159901,宽基/综合
深证50ETF富国,159350,宽基/综合
深证成指ETF大成,159943,宽基/综合
深证主板50ETF南方,159578,宽基/综合
深300ETF汇添富,159912,宽基/综合
上证指数ETF汇添富,510980,宽基/综合
价值100ETF富国,512040,宽基/综合
