code,name,product_type,effective_from,effective_to,source,quality
159901,深证100ETF易方达,ETF,2006-04-24,,initial_current_pool_backfill,partial_survivorship_bias
159902,中小100ETF华夏,ETF,2006-09-05,,initial_current_pool_backfill,partial_survivorship_bias
510010,180治理ETF交银,ETF,2009-12-15,,initial_current_pool_backfill,partial_survivorship_bias
510020,超大盘ETF博时,ETF,2010-03-19,,initial_current_pool_backfill,partial_survivorship_bias
510130,上证中盘ETF易方达,ETF,2010-06-23,,initial_current_pool_backfill,partial_survivorship_bias
510160,产业升级ETF南方,ETF,2010-11-01,,initial_current_pool_backfill,partial_survivorship_bias
159906,深成长ETF大成,ETF,2011-02-23,,initial_current_pool_backfill,partial_survivorship_bias
159907,国证2000ETF广发,ETF,2011-08-10,,initial_current_pool_backfill,partial_survivorship_bias
159912,深300ETF汇添富,ETF,2011-11-24,,initial_current_pool_backfill,partial_survivorship_bias
159915,创业板ETF易方达,ETF,2011-12-09,,initial_current_pool_backfill,partial_survivorship_bias
159918,中创400ETF嘉实,ETF,2012-05-11,,initial_current_pool_backfill,partial_survivorship_bias
159919,沪深300ETF嘉实,ETF,2012-05-28,,initial_current_pool_backfill,partial_survivorship_bias
510300,沪深300ETF华泰柏瑞,ETF,2012-05-28,,initial_current_pool_backfill,partial_survivorship_bias
511880,银华日利ETF,ETF,2013-04-18,,initial_current_pool_backfill,partial_survivorship_bias
159928,消费ETF汇添富,ETF,2013-09-16,,initial_current_pool_backfill,partial_survivorship_bias
159929,医药ETF汇添富,ETF,2013-09-16,,initial_current_pool_backfill,partial_survivorship_bias
159930,能源ETF汇添富,ETF,2013-09-16,,initial_current_pool_backfill,partial_survivorship_bias
159934,黄金ETF易方达,ETF,2013-12-16,,initial_current_pool_backfill,partial_survivorship_bias
511220,城投债ETF海富通,ETF,2014-12-16,,initial_current_pool_backfill,partial_survivorship_bias
513600,恒生指数ETF南方,ETF,2015-01-26,,initial_current_pool_backfill,partial_survivorship_bias
159939,信息技术ETF广发,ETF,2015-02-05,,initial_current_pool_backfill,partial_survivorship_bias
159943,深证成指ETF大成,ETF,2015-07-08,,initial_current_pool_backfill,partial_survivorship_bias
159941,纳指ETF广发,ETF,2015-07-13,,initial_current_pool_backfill,partial_survivorship_bias
512010,医药ETF易方达,ETF,2015-08-04,,initial_current_pool_backfill,partial_survivorship_bias
512070,证券保险ETF易方达,ETF,2015-08-04,,initial_current_pool_backfill,partial_survivorship_bias
512500,中证500ETF华夏,ETF,2015-08-04,,initial_current_pool_backfill,partial_survivorship_bias
161226,国投白银LOF,LOF,2015-08-17,,initial_current_pool_backfill,partial_survivorship_bias
510810,上海国企ETF汇添富,ETF,2016-08-29,,initial_current_pool_backfill,partial_survivorship_bias
161128,标普信息科技LOF,LOF,2017-01-03,,initial_current_pool_backfill,partial_survivorship_bias
512550,富时A50ETF嘉实,ETF,2017-08-07,,initial_current_pool_backfill,partial_survivorship_bias
512400,有色金属ETF南方,ETF,2017-09-01,,initial_current_pool_backfill,partial_survivorship_bias
160644,港美互联网LOF,LOF,2017-12-29,,initial_current_pool_backfill,partial_survivorship_bias
512980,传媒ETF广发,ETF,2018-01-19,,initial_current_pool_backfill,partial_survivorship_bias
512090,MSCIA股ETF易方达,ETF,2018-06-01,,initial_current_pool_backfill,partial_survivorship_bias
512770,战略新兴ETF华夏,ETF,2018-08-16,,initial_current_pool_backfill,partial_survivorship_bias
511270,10年地方债ETF海富通,ETF,2018-11-22,,initial_current_pool_backfill,partial_survivorship_bias
512040,价值100ETF富国,ETF,2018-11-29,,initial_current_pool_backfill,partial_survivorship_bias
512260,中证500低波动ETF华安,ETF,2019-01-11,,initial_current_pool_backfill,partial_survivorship_bias
512950,央企改革ETF华夏,ETF,2019-01-18,,initial_current_pool_backfill,partial_survivorship_bias
159965,央视50ETF国联,ETF,2019-04-24,,initial_current_pool_backfill,partial_survivorship_bias
512480,半导体ETF国联安,ETF,2019-06-12,,initial_current_pool_backfill,partial_survivorship_bias
513520,日经ETF华夏,ETF,2019-06-25,,initial_current_pool_backfill,partial_survivorship_bias
513800,日本东证指数ETF南方,ETF,2019-06-25,,initial_current_pool_backfill,partial_survivorship_bias
512750,基本面50ETF嘉实,ETF,2019-07-05,,initial_current_pool_backfill,partial_survivorship_bias
159967,创业板成长ETF华夏,ETF,2019-07-15,,initial_current_pool_backfill,partial_survivorship_bias
159973,民企ETF弘毅远方,ETF,2019-08-09,,initial_current_pool_backfill,partial_survivorship_bias
512720,计算机ETF华宝,ETF,2019-08-16,,initial_current_pool_backfill,partial_survivorship_bias
512710,军工龙头ETF富国,ETF,2019-08-26,,initial_current_pool_backfill,partial_survivorship_bias
515880,通信ETF国泰,ETF,2019-09-06,,initial_current_pool_backfill,partial_survivorship_bias
512190,浙商之江凤凰ETF,ETF,2019-09-09,,initial_current_pool_backfill,partial_survivorship_bias
515860,科技ETF嘉实,ETF,2019-10-22,,initial_current_pool_backfill,partial_survivorship_bias
512650,长三角ETF汇添富,ETF,2019-10-25,,initial_current_pool_backfill,partial_survivorship_bias
512970,大湾区ETF平安,ETF,2019-11-11,,initial_current_pool_backfill,partial_survivorship_bias
515200,创新100ETF申万菱信,ETF,2019-11-15,,initial_current_pool_backfill,partial_survivorship_bias
